"title","description","meta_title","meta_image_id","meta_description","slug","id","_locale","_parent_id"
"Žurka","Vina, ki držijo tempo in glasnost. Bleščice niso obvezne, so pa zaželjene.",,,,"zurka","36","sl","11"
"Zmenkarije","Vina, ki šepetajo sladke neumnosti… in potem mogoče še kaj več.",,,,"zmenkarije","16","sl","5"
"Za taščo","Ko rabiš vino, da se neha vtikat v tvojga otroka.",,,,"za-tasco","30","sl","9"
"Za tasta","Ne zajebi situacije. Prinesi mu vino, ki bo njemu kul!",,,,"za-tasta","27","sl","8"
"Wroooče!","Ko švicaš v kopalkah, rabiš vino v kterga lahko vržeš par kock ledu.",,,,"wroooce","45","sl","14"
"Vsakodnevci","Vina za med tednom, ki te ne obsojajo, tudi če pogledaš tri sezone v enem večeru.",,,,"vsakodnevci","42","sl","13"
"Tisti dnevi","Veš, kateri dnevi. Ne sprašuj – samo toči.",,,,"tisti-dnevi","13","sl","4"
"Those days","You know the ones. Don't ask, just pour.",,,,"those-days","12","en","4"
"Sommstuff","Niche, nerdy, and not for everyone. But if you’re geeking out over lees contact — you’re home.",,,,"sommstuff","56","en","18"
"Something new","Tired of Pinot this and Chardonnay that? Welcome to the deep end of the wine pool.",,,,"something-new","18","en","6"
"Someljejčki","Ful lep PH! Kako dolgo na drožeh? In mikroklima? Če s tem ponavadi težiš vinarjem — si doma.",,,,"someljejcki","57","sl","18"
"Snobby friends?","When you need a wine to impress instead of you.",,,,"snobby-friends","23","en","7"
"Snob?","Funky, divja in rahlo nerazumljena. Tako kot ti.",,,,"snob","54","sl","17"
"Snob much?","Funky, wild, and slightly misunderstood. Just like you.",,,,"snob-much","53","en","17"
"Sam doma","Ker ne piješ sam, ampak samo vnaprej tejstaš… za obiske, ki pridejo.... enkrat.",,,,"sam-doma","9","sl","3"
"Sailing","For salty air, sunburnt noses, and wines that pair well with rope burns. And bubbly water if you're the skipper!",,,,"sailing","38","en","12"
"Prepotentni kolegi?","Ko rabiš vino, da naredi vtis namesto tebe.",,,,"prepotentni-kolegi","24","sl","7"
"Piknik","Vina, ki prenesejo travne madeže, plastične kozarce in mlačen sir. Lahkotna, sveža in prijazna do odej.",,,,"piknik","6","sl","2"
"Picnic","Wines that don’t mind grass stains, plastic cups, or warm cheese. Easy, breezy, and park-friendly.",,,,"picnic","5","en","2"
"Peaking","These wines are at their peak. Aged, poised, and ready to blow your mind. No climbing gear needed.",,,,"peaking","50","en","16"
"Parteeey","Wines that keep the vibe up and the volume loud. Preferably with glitter.",,,,"parteeey","35","en","11"
"Nice bottle","You could drink it, but this bottle sooo nice — it’s perfect for gifting. ",,,,"nice-bottle","47","en","15"
"Netflix & Chill","Ko rabiš butelko za boljšo atmosfero .. .pri gledanju filmov.",,,,"netflix-chill","3","sl","1"
"Neki novga","Dovolj malvazije in refoška? Dobrodošel v globokem koncu vinskega bazena.",,,,"neki-novga","19","sl","6"
"Neftlix & Chill","When you need a bottle to set the mood for... movie watching.",,,,"neftlix-chill","2","en","1"
"Na vrhuncu","Ta vina so na vrhuncu. Zorjena, pripravljena in z eno nogo že v legendi. Brez derez. Na kaj si pa ti pomislil?",,,,"na-vrhuncu","51","sl","16"
"Lepe Butelke","Lahko ga spiješ, ampak je ful lušna butelka - za darilo?",,,,"lepe-butelke","48","sl","15"
"Jadranje","Za slan zrak, opečena ramena in vina, ki se dobro ujemajo z žulji od vrvi. Pa tudi z radensko če si skipper!",,,,"jadranje","39","sl","12"
"Impress her dad","Don’t mess this up. Bring a wine he thinks is amazing.",,,,"impress-her-dad","26","en","8"
"Ikone & Legende","Ta vina se niso prišla igrat. Prišla so pokazat, kdo je šefe!",,,,"ikone-legende","33","sl","10"
"Icons & Legends","These wines didn’t come to play. They came to remind the rest who’s boss.",,,,"icons-legends","32","en","10"
"Hot in herre","Wines for your ice cubes when you are sweating in your bathing suit.",,,,"hot-in-herre","44","en","14"
"Home alone","Because you’re not drinking alone, you’re just pre-tasting before guests arrive… at some point.",,,,"home-alone","8","en","3"
"For mother in law","When you need a wine to keep her out of your parenting decisions.",,,,"for-mother-in-law","29","en","9"
"Date night","Wines that whisper sweet nothings… and then maybe a little something more.",,,,"date-night","15","en","5"
"Daily Boozers ","Weekday wines that go down easy and don’t judge your bingeing.",,,,"daily-boozers","41","en","13"
